-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2023 in LST
Location: latitude  -1.2921   longitude 36.8219 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1642.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS2M,PRECTOTCORR
2018,4,10,6.3415,20.19,74.19,1.92,3.39
2018,4,11,5.3071,19.7,81.7,2.4,7.94
2018,4,12,6.0312,19.67,81.19,2.89,3.83
2018,4,13,5.5226,18.81,83.16,2.15,3.37
2018,4,14,4.5967,19.21,81.83,1.93,2.04
2018,4,15,4.8845,17.66,85.53,2.46,4.57
2018,4,16,5.4211,18.7,80.46,2.54,11.46
2018,4,17,3.8568,17.61,87.65,2.15,20.22
2018,4,18,5.3278,18.8,83.47,1.37,20.61
2018,4,19,4.8391,18.19,89.9,1.05,37.14
2018,4,20,5.7842,18.1,90.67,0.78,9.82
2018,4,21,5.5733,18.43,88.3,1.54,4.54
2018,4,22,4.1568,17.62,87.55,1.52,3.19
2018,4,23,5.6604,19.15,84.74,1.68,13.75
2018,4,24,4.086,17.77,90.06,2.11,18.74
2018,4,25,4.3447,18.51,85.37,2.56,4.46
2018,4,26,5.1689,19.16,85.64,2.5,4.75
2018,4,27,4.843,18.5,85.68,2.87,9.15
2018,4,28,5.0455,18.3,84.85,2.94,2.52
2018,4,29,4.6231,17.58,84.71,2.62,0.47
2018,4,30,4.5965,17.79,83.67,2.74,4.23
2018,5,1,3.9518,17.48,87.3,2.73,19.15
2018,5,2,4.4851,15.56,83.24,1.61,4.13
2018,5,3,5.1199,17.74,83.58,2.02,0.54
2018,5,4,5.6738,18.31,83.29,2.43,0.46
2018,5,5,5.0858,18.44,84.73,2.8,4.68
2018,5,6,5.4324,18.29,84.86,2.59,3.35
2018,5,7,4.5408,18.13,86.96,2.75,1.31
2018,5,8,4.1899,17.74,86.45,2.21,2.16
2018,5,9,4.457,17.93,84.56,2.62,3.23
2018,5,10,4.9632,18.0,86.33,2.39,5.4
2018,5,11,4.4244,17.36,88.39,2.55,11.1
2018,5,12,6.0677,18.54,83.99,1.56,0.22
2018,5,13,5.5541,19.17,84.84,1.31,1.57
2018,5,14,6.1349,18.86,85.95,2.6,5.19
2018,5,15,5.5222,18.25,80.06,2.41,0.45
2018,5,16,5.9417,18.21,85.58,1.77,1.03
2018,5,17,5.6119,18.03,84.7,1.73,0.42
2018,5,18,5.1185,17.91,81.75,1.57,0.92
2018,5,19,5.01,18.22,82.58,1.65,3.35
2018,5,20,2.8728,17.99,81.21,1.67,2.8
2018,5,21,3.6859,18.04,86.56,2.17,7.63
2018,5,22,3.5304,17.53,86.17,2.51,4.03
2018,5,23,4.7172,17.75,84.41,2.32,0.59
2018,5,24,5.0086,17.98,84.01,1.83,0.59
2018,5,25,5.281,17.97,82.73,1.52,1.09
2018,5,26,5.6254,17.67,82.83,2.52,1.21
2018,5,27,4.9397,17.77,84.18,2.45,1.76
2018,5,28,6.7241,17.5,79.22,1.92,0.08
2018,5,29,6.5458,16.34,78.78,1.65,0.05
2018,5,30,6.6617,17.55,80.4,1.42,0.1
2018,5,31,5.3458,18.38,84.0,1.58,1.7
2018,6,1,5.3561,18.97,82.99,1.94,0.71
2018,6,2,5.0556,18.8,83.08,2.31,1.38
2018,6,3,4.7225,18.57,84.67,1.76,1.62
2018,6,4,3.8926,17.96,86.26,1.66,4.7
2018,6,5,3.6758,16.63,83.69,2.04,1.24
2018,6,6,3.6516,16.87,80.55,1.97,1.19
2018,6,7,2.6767,16.52,82.62,1.48,1.04
2018,6,8,3.755,16.88,82.07,1.17,0.55
2018,6,9,3.7529,17.64,80.22,1.41,0.52
2018,6,10,4.4316,17.72,75.97,1.75,0.07
2018,6,11,6.4433,17.4,70.73,1.94,0.0
2018,6,12,5.6045,17.4,79.53,2.37,0.1
2018,6,13,5.0119,17.87,78.02,2.15,0.34
2018,6,14,4.3416,17.81,79.8,1.35,0.36
2018,6,15,4.1352,18.27,78.62,1.53,0.34
2018,6,16,5.1245,18.28,78.02,1.82,0.57
2018,6,17,2.7773,16.92,82.62,1.65,1.22
2018,6,18,2.5843,16.97,82.66,1.78,2.2
2018,6,19,2.4458,17.29,79.95,1.93,1.04
2018,6,20,4.2396,17.66,75.15,2.2,0.1
2018,6,21,3.5916,17.97,74.88,2.74,0.14
2018,6,22,5.1434,17.98,75.81,2.51,0.31
2018,6,23,5.2723,18.11,76.57,1.73,0.55
2018,6,24,4.6934,17.65,78.41,1.71,0.56
2018,6,25,2.9928,16.96,75.0,1.77,2.78
2018,6,26,3.8263,17.68,75.44,2.29,0.55
2018,6,27,5.5397,17.83,69.81,1.9,0.19
2018,6,28,5.8598,17.79,70.88,1.89,0.02
2018,6,29,4.2535,17.78,77.69,2.26,1.48
2018,6,30,4.7863,18.17,75.41,2.64,0.25
2018,7,1,5.1144,18.18,75.7,2.63,0.53
2018,7,2,3.4956,17.7,77.79,2.85,0.78
2018,7,3,3.5318,17.55,78.74,2.8,0.98
2018,7,4,2.4859,17.0,77.93,3.3,1.27
2018,7,5,4.4299,17.33,69.75,2.45,0.21
2018,7,6,5.1926,16.92,66.19,2.55,0.02
2018,7,7,5.2872,17.24,68.36,3.14,0.13
2018,7,8,4.3159,17.38,70.13,2.47,0.12
2018,7,9,4.0092,17.14,74.24,2.09,0.53
2018,7,10,3.69,17.67,74.77,2.25,0.29
2018,7,11,3.1282,17.19,75.16,2.17,0.33
2018,7,12,3.9134,17.76,74.15,2.43,0.36
2018,7,13,3.3818,17.9,75.35,2.3,1.05
2018,7,14,3.0468,17.15,76.77,2.0,0.89
2018,7,15,3.8458,17.94,68.6,2.43,0.06
2018,7,16,5.6086,17.34,67.72,2.21,0.04
2018,7,17,6.8314,17.15,64.31,2.04,0.01
2018,7,18,4.7064,16.81,66.62,2.58,0.0
2018,7,19,5.237,17.32,67.81,2.34,0.03
2018,7,20,4.4251,16.96,71.25,2.34,0.11
2018,7,21,2.4166,17.05,72.71,2.97,0.4
2018,7,22,4.0697,17.35,72.02,2.92,0.16
2018,7,23,3.9367,16.9,71.08,3.08,0.09
2018,7,24,3.5652,16.95,69.33,2.64,0.12
2018,7,25,3.3734,17.05,72.15,2.42,0.65
2018,7,26,3.7829,17.55,69.23,2.54,0.18
2018,7,27,5.821,17.48,69.7,2.25,0.35
2018,7,28,5.9522,18.95,61.73,1.83,0.03
2018,7,29,4.5859,18.79,70.08,1.62,0.47
2018,7,30,5.3196,18.81,70.94,1.8,2.09
2018,7,31,4.5677,18.55,73.13,2.2,1.13
2018,8,1,5.7252,18.88,69.63,2.73,0.41
2018,8,2,6.8803,20.45,62.87,2.38,0.07
2018,8,3,6.6348,20.41,62.27,2.42,0.07
2018,8,4,5.5358,19.19,62.06,3.18,0.14
2018,8,5,4.7366,18.42,64.14,3.46,0.27
2018,8,6,5.5802,18.69,62.45,3.49,0.12
2018,8,7,6.9425,18.96,49.98,3.19,0.07
2018,8,8,5.8788,19.21,54.84,2.39,0.09
2018,8,9,6.1627,19.37,62.77,2.4,0.11
2018,8,10,5.741,19.3,61.95,2.93,0.25
2018,8,11,5.6244,18.19,59.51,3.86,0.24
2018,8,12,5.8063,18.38,61.84,3.72,0.15
2018,8,13,4.3754,18.23,59.07,3.8,0.08
2018,8,14,6.9043,18.86,57.31,3.31,0.05
2018,8,15,5.0642,18.54,61.85,3.27,0.27
2018,8,16,3.0691,18.65,60.08,3.1,0.15
2018,8,17,4.8578,18.57,67.83,2.15,0.58
2018,8,18,4.465,17.87,70.43,2.61,0.3
2018,8,19,3.9998,18.31,65.81,2.58,0.27
2018,8,20,4.5614,18.07,64.03,2.73,0.2
2018,8,21,4.7371,18.99,63.24,2.82,0.21
2018,8,22,5.7449,19.63,61.34,2.32,0.1
2018,8,23,4.38,19.3,65.44,2.52,0.35
2018,8,24,4.1678,19.22,65.59,2.03,2.06
2018,8,25,5.2654,19.16,61.92,3.2,0.91
2018,8,26,4.7131,19.88,66.55,2.24,1.42
2018,8,27,5.0767,19.64,67.7,2.43,3.15
2018,8,28,4.1376,18.08,74.08,2.08,2.36
2018,8,29,3.0319,17.36,73.07,2.54,0.58
2018,8,30,5.053,17.96,65.01,2.99,0.18
2018,8,31,3.4481,18.14,70.04,2.55,0.53
2018,9,1,3.937,18.84,67.21,2.76,0.56
2018,9,2,3.5854,19.02,67.97,2.66,0.59
2018,9,3,4.2276,18.52,64.87,2.51,0.47
2018,9,4,4.6649,19.3,68.47,3.0,0.89
2018,9,5,5.4953,19.01,62.52,3.97,0.29
2018,9,6,6.0974,19.15,64.8,4.25,0.27
2018,9,7,6.8801,20.01,58.39,3.97,0.04
2018,9,8,6.8909,20.21,57.84,4.02,0.16
2018,9,9,7.3656,21.05,57.11,3.33,0.08
2018,9,10,6.6852,21.59,59.72,3.68,0.24
2018,9,11,6.4649,20.75,57.22,4.3,0.13
2018,9,12,7.3157,20.46,55.6,4.16,0.07
2018,9,13,6.269,20.77,60.66,3.8,1.21
2018,9,14,6.7594,21.71,55.74,3.7,0.07
2018,9,15,7.4959,20.95,49.71,3.83,0.07
2018,9,16,7.8096,21.14,48.94,3.45,0.08
2018,9,17,7.2432,21.22,50.86,2.82,0.01
2018,9,18,7.295,21.12,52.3,3.38,0.05
2018,9,19,7.0102,20.65,54.07,3.26,0.12
2018,9,20,7.4162,20.93,51.82,3.74,0.05
2018,9,21,6.701,21.42,58.94,3.76,0.59
2018,9,22,5.4007,20.76,59.66,3.99,0.35
2018,9,23,6.8882,20.61,56.06,3.99,0.15
2018,9,24,7.5566,20.47,59.42,4.21,0.18
2018,9,25,6.4524,20.95,61.11,4.14,0.67
2018,9,26,7.1342,21.6,57.82,4.06,0.26
2018,9,27,5.5442,19.67,67.46,4.16,0.97
2018,9,28,6.2477,21.08,65.81,4.17,0.27
2018,9,29,6.5926,20.3,61.17,3.93,0.13
2018,9,30,7.1011,20.77,50.8,3.55,0.01
2018,10,1,7.3843,20.01,57.23,3.46,0.01
2018,10,2,6.3396,20.21,59.93,3.92,0.06
2018,10,3,6.9991,20.93,59.84,4.08,0.33
2018,10,4,6.0696,21.18,58.09,3.95,0.42
2018,10,5,7.2442,21.58,60.42,3.99,0.35
2018,10,6,6.9972,21.9,61.09,3.77,0.47
2018,10,7,6.7505,21.99,59.97,2.98,0.49
2018,10,8,5.2574,20.95,65.03,3.1,3.25
2018,10,9,5.0693,20.59,64.6,3.88,0.64
2018,10,10,5.6854,20.31,60.8,4.47,0.28
2018,10,11,7.2211,20.63,56.62,4.02,0.18
2018,10,12,7.1434,21.47,54.82,3.27,0.04
2018,10,13,6.3888,22.17,57.57,3.5,0.11
2018,10,14,7.1177,21.99,56.55,3.48,0.06
2018,10,15,6.6317,22.23,56.04,3.16,0.79
2018,10,16,7.1556,22.42,55.78,3.69,0.17
2018,10,17,6.7982,22.36,58.36,3.89,0.58
2018,10,18,5.9213,21.93,64.56,4.24,1.9
2018,10,19,5.8687,21.48,65.44,4.14,1.96
2018,10,20,6.7332,20.87,62.42,4.35,4.65
2018,10,21,6.3732,20.73,60.0,4.75,0.07
2018,10,22,5.9537,19.39,64.46,4.89,0.46
2018,10,23,2.7775,18.46,68.68,4.58,1.7
2018,10,24,3.714,19.38,65.73,3.26,2.37
2018,10,25,3.2189,19.11,75.73,3.64,4.64
2018,10,26,4.669,19.59,74.0,3.79,3.02
2018,10,27,4.0846,19.54,72.3,4.09,1.06
2018,10,28,5.1545,19.34,70.59,3.18,1.59
2018,10,29,5.7881,20.09,72.68,3.38,1.08
2018,10,30,5.4014,20.53,65.06,3.66,0.57
2018,10,31,6.594,20.72,66.59,3.98,0.14
2018,11,1,6.462,20.69,73.02,4.39,1.44
2018,11,2,5.3748,20.64,72.23,4.76,9.34
2018,11,3,5.3587,20.5,70.45,4.4,0.57
2018,11,4,5.8361,20.2,63.17,3.85,0.15
2018,11,5,6.9718,20.67,59.36,3.53,0.04
2018,11,6,7.1153,21.15,61.1,3.55,0.05
2018,11,7,7.0987,21.77,62.04,3.56,0.09
2018,11,8,7.3248,22.21,61.66,3.72,0.16
2018,11,9,5.7706,21.84,65.13,3.26,0.86
2018,11,10,6.0502,21.72,62.47,3.76,0.48
2018,11,11,5.4672,21.18,66.24,3.5,3.72
2018,11,12,6.4541,20.98,66.82,3.57,4.96
2018,11,13,6.1558,20.62,69.98,4.05,0.78
2018,11,14,6.8933,20.8,69.27,3.92,1.11
2018,11,15,7.1165,21.34,61.78,3.92,0.12
2018,11,16,7.6973,21.3,56.27,3.41,0.0
2018,11,17,5.7154,21.7,69.91,3.25,0.8
2018,11,18,6.7843,22.1,63.52,3.94,0.39
2018,11,19,6.0502,21.02,72.97,3.81,1.39
2018,11,20,5.605,20.87,74.37,4.22,2.25
2018,11,21,5.3064,20.5,76.96,4.59,2.49
2018,11,22,5.6501,20.57,72.75,4.16,1.73
2018,11,23,6.2424,20.81,68.26,3.76,0.28
2018,11,24,6.7078,20.82,68.12,4.55,1.12
2018,11,25,5.5392,20.74,70.12,4.5,2.39
2018,11,26,4.9848,20.7,70.91,4.11,0.71
2018,11,27,5.5469,20.65,70.83,3.67,1.12
2018,11,28,5.971,20.89,70.82,4.1,1.51
2018,11,29,5.7833,20.36,74.64,4.79,1.84
2018,11,30,6.3804,20.62,70.18,5.02,0.37
2018,12,1,4.7438,20.22,76.42,4.48,3.45
2018,12,2,4.8864,20.3,74.36,3.64,4.3
2018,12,3,5.7828,20.4,75.71,3.46,5.35
2018,12,4,4.0862,20.4,78.13,3.86,9.44
2018,12,5,5.4859,21.06,71.18,4.24,0.24
2018,12,6,5.729,20.81,72.85,3.46,2.05
2018,12,7,6.4106,20.95,70.7,3.85,0.1
2018,12,8,4.8358,20.11,78.07,3.32,5.78
2018,12,9,5.3453,20.64,75.3,3.41,3.34
2018,12,10,4.2283,19.62,80.64,1.06,12.29
2018,12,11,3.456,18.37,79.81,1.49,8.41
2018,12,12,5.3762,19.9,72.2,2.63,7.37
2018,12,13,5.6107,19.99,77.34,3.9,2.41
2018,12,14,5.1682,18.6,84.1,3.05,9.5
2018,12,15,5.1998,18.92,83.27,3.4,3.2
2018,12,16,6.9413,20.02,74.32,3.13,0.1
2018,12,17,7.015,19.92,72.55,3.46,0.03
2018,12,18,6.5028,20.38,70.73,3.47,0.13
2018,12,19,4.3834,19.7,76.2,3.22,1.1
2018,12,20,5.7031,19.58,71.0,2.56,0.21
2018,12,21,6.3197,20.29,69.37,3.16,0.47
2018,12,22,6.587,20.48,72.52,3.58,0.89
2018,12,23,6.4296,20.21,73.81,3.54,0.45
2018,12,24,6.7224,20.25,71.19,4.37,0.05
2018,12,25,7.0471,20.08,73.1,4.47,0.26
2018,12,26,6.8184,20.16,67.89,4.23,0.02
2018,12,27,6.6533,19.94,71.28,3.92,0.49
2018,12,28,6.9761,20.2,69.05,3.38,0.68
2018,12,29,6.72,20.25,68.41,3.15,1.1
2018,12,30,6.9943,20.37,70.4,3.8,1.13
2018,12,31,6.1946,19.94,74.15,4.04,2.71
2019,1,1,7.0363,20.62,68.21,3.58,0.4
2019,1,2,7.1347,20.68,64.77,3.56,0.06
2019,1,3,7.1004,20.88,68.16,3.92,0.95
2019,1,4,5.0753,19.77,81.77,4.62,3.74
2019,1,5,4.9306,20.04,77.83,4.68,7.96
2019,1,6,6.7301,19.67,74.11,3.62,0.4
2019,1,7,6.9163,20.78,58.01,3.93,0.0
2019,1,8,4.5766,19.49,67.59,3.62,0.86
2019,1,9,6.5717,20.19,63.91,3.61,0.08
2019,1,10,5.6609,19.28,69.98,4.0,0.88
2019,1,11,6.4241,20.32,69.95,4.54,0.26
2019,1,12,7.4813,19.72,64.49,4.48,0.0
2019,1,13,7.3627,19.75,67.98,4.16,1.3
2019,1,14,6.3442,20.75,68.59,3.77,0.29
2019,1,15,4.883,19.48,74.77,3.33,0.93
2019,1,16,4.9574,20.42,67.59,3.35,2.09
2019,1,17,6.7999,20.2,63.24,2.72,0.0
2019,1,18,6.8863,21.19,57.8,3.15,0.0
2019,1,19,7.1088,21.33,58.14,3.63,0.0
2019,1,20,7.2067,22.55,49.49,3.31,0.0
2019,1,21,5.0299,22.24,51.23,2.78,0.01
2019,1,22,7.0219,20.98,60.37,3.11,0.05
2019,1,23,6.251,21.22,64.54,3.4,0.12
2019,1,24,7.3819,21.3,58.97,4.08,0.0
2019,1,25,7.4376,22.25,55.47,4.02,0.15
2019,1,26,6.7066,22.38,58.99,3.92,0.1
2019,1,27,7.3925,22.21,59.0,4.27,0.02
2019,1,28,7.0368,21.75,60.56,4.33,0.0
2019,1,29,7.607,21.95,57.92,3.91,0.01
2019,1,30,7.5881,21.99,57.01,3.75,0.01
2019,1,31,7.5194,22.88,54.64,3.91,0.11
2019,2,1,7.2242,22.4,54.32,3.99,0.01
2019,2,2,7.8662,22.97,46.97,4.23,0.0
2019,2,3,7.7482,23.47,40.83,4.21,0.0
2019,2,4,7.5552,23.22,46.72,4.1,0.03
2019,2,5,7.1369,22.1,56.32,4.92,0.03
2019,2,6,7.6783,21.6,56.92,4.47,0.01
2019,2,7,7.2775,22.63,59.85,4.27,0.15
2019,2,8,6.8611,22.18,62.79,4.21,0.3
2019,2,9,7.175,22.24,61.1,4.32,0.1
2019,2,10,7.5348,21.72,60.65,4.62,0.29
2019,2,11,7.5384,22.22,48.07,4.39,0.01
2019,2,12,7.3745,21.99,49.32,4.62,0.03
2019,2,13,7.2017,21.62,55.85,4.6,0.05
2019,2,14,7.3358,22.18,55.29,4.19,0.02
2019,2,15,7.331,23.12,54.24,3.86,0.15
2019,2,16,5.5855,22.09,62.29,4.1,0.8
2019,2,17,6.8563,23.15,55.4,4.38,0.12
2019,2,18,7.4741,23.65,44.22,3.37,0.0
2019,2,19,7.283,23.76,49.78,3.41,0.1
2019,2,20,7.3831,22.66,56.93,4.53,0.23
2019,2,21,6.4224,22.21,56.9,4.99,0.15
2019,2,22,6.5899,22.44,59.05,4.26,0.54
2019,2,23,6.4018,21.54,66.03,4.0,0.91
2019,2,24,5.5757,22.28,61.11,3.45,0.45
2019,2,25,6.8448,21.51,64.03,3.33,0.51
2019,2,26,7.8751,22.07,53.01,4.0,0.01
2019,2,27,7.9692,22.47,54.14,4.16,0.03
2019,2,28,8.0062,23.22,50.99,3.75,0.0
2019,3,1,7.8242,24.45,44.06,2.58,0.0
2019,3,2,6.523,24.99,42.84,2.04,1.52
2019,3,3,6.9298,25.24,45.55,1.49,1.7
2019,3,4,6.6902,23.52,54.86,2.19,0.61
2019,3,5,6.7553,22.74,56.34,3.17,1.05
2019,3,6,7.465,23.41,48.26,2.94,0.0
2019,3,7,7.0829,24.64,39.87,3.21,0.0
2019,3,8,7.151,23.56,40.57,3.65,0.03
2019,3,9,7.6968,23.09,44.86,4.27,0.01
2019,3,10,7.9891,22.33,43.33,4.43,0.06
2019,3,11,7.8758,23.11,42.76,3.95,0.04
2019,3,12,7.855,23.09,43.42,4.14,0.0
2019,3,13,7.7863,22.58,46.45,4.32,0.01
2019,3,14,7.6205,22.37,52.15,4.19,0.09
2019,3,15,7.5934,22.85,50.57,4.12,0.06
2019,3,16,7.4702,22.84,55.2,3.98,0.23
2019,3,17,7.6546,24.03,50.55,3.91,0.02
2019,3,18,7.7191,23.81,47.59,3.94,0.01
2019,3,19,7.8739,23.58,49.79,4.05,0.0
2019,3,20,7.4885,23.74,51.76,4.07,0.08
2019,3,21,7.6142,24.18,47.72,3.73,0.0
2019,3,22,7.6582,24.11,49.25,3.85,0.02
2019,3,23,7.8322,23.19,54.26,4.18,0.33
2019,3,24,6.9266,23.17,52.07,4.04,0.29
2019,3,25,6.9698,24.1,44.63,3.06,0.0
2019,3,26,7.4921,24.5,42.06,3.5,0.0
2019,3,27,6.305,23.29,48.44,4.38,0.91
2019,3,28,6.4346,22.72,56.75,4.13,1.2
2019,3,29,7.2221,23.63,54.39,3.61,0.17
2019,3,30,7.4148,23.76,52.71,3.94,0.19
2019,3,31,7.2842,23.89,51.82,3.68,0.23
2019,4,1,6.9226,23.6,55.41,3.74,0.82
2019,4,2,7.2533,23.85,53.56,4.1,0.16
2019,4,3,7.0706,23.37,59.7,3.72,0.37
2019,4,4,5.964,22.58,65.52,4.19,0.85
2019,4,5,6.6482,22.64,64.05,4.67,0.18
2019,4,6,7.357,23.04,58.37,4.44,0.32
2019,4,7,6.8258,22.86,55.18,4.09,0.03
2019,4,8,7.3212,23.89,54.04,3.54,0.08
2019,4,9,5.9621,23.32,58.5,3.6,0.48
2019,4,10,6.8059,22.64,56.05,3.63,0.04
2019,4,11,6.3701,22.22,64.7,3.77,0.47
2019,4,12,6.7973,22.84,59.66,3.95,0.11
2019,4,13,6.8146,23.1,60.36,3.87,0.41
2019,4,14,6.0854,23.3,56.22,4.0,0.13
2019,4,15,7.3234,22.94,55.28,3.97,0.02
2019,4,16,7.1981,23.34,50.41,3.65,0.05
